     n         h                l                k               nl               nk
   205  -0.34863970E+01   0.43997550E-02  -0.72084108E-02   0.90194977E+00  -0.14777242E+01
   206  -0.34912825E+01   0.43786785E-02  -0.71780467E-02   0.90200777E+00  -0.14786776E+01
   207  -0.34961672E+01   0.43578278E-02  -0.71480193E-02   0.90207035E+00  -0.14796400E+01
   208  -0.35010512E+01   0.43371999E-02  -0.71183236E-02   0.90213758E+00  -0.14806113E+01
   209  -0.35059343E+01   0.43167918E-02  -0.70889544E-02   0.90220949E+00  -0.14815915E+01
   210  -0.35108165E+01   0.42966008E-02  -0.70599068E-02   0.90228617E+00  -0.14825804E+01
   211  -0.35156979E+01   0.42766239E-02  -0.70311760E-02   0.90236764E+00  -0.14835781E+01
   212  -0.35205784E+01   0.42568586E-02  -0.70027573E-02   0.90245402E+00  -0.14845845E+01
   213  -0.35254580E+01   0.42373019E-02  -0.69746460E-02   0.90254530E+00  -0.14855996E+01
   214  -0.35303366E+01   0.42179514E-02  -0.69468375E-02   0.90264160E+00  -0.14866232E+01
   215  -0.35352143E+01   0.41988043E-02  -0.69193272E-02   0.90274292E+00  -0.14876553E+01
   216  -0.35400909E+01   0.41798580E-02  -0.68921109E-02   0.90284933E+00  -0.14886960E+01
   217  -0.35449666E+01   0.41611101E-02  -0.68651842E-02   0.90296089E+00  -0.14897450E+01
   218  -0.35498412E+01   0.41425580E-02  -0.68385428E-02   0.90307764E+00  -0.14908023E+01
   219  -0.35547147E+01   0.41241992E-02  -0.68121826E-02   0.90319962E+00  -0.14918680E+01
   220  -0.35595871E+01   0.41060313E-02  -0.67860995E-02   0.90332689E+00  -0.14929419E+01
   221  -0.35644584E+01   0.40880520E-02  -0.67602894E-02   0.90345949E+00  -0.14940240E+01
   222  -0.35693286E+01   0.40702588E-02  -0.67347484E-02   0.90359745E+00  -0.14951141E+01
   223  -0.35741976E+01   0.40526495E-02  -0.67094726E-02   0.90374084E+00  -0.14962124E+01
   224  -0.35790654E+01   0.40352217E-02  -0.66844583E-02   0.90388966E+00  -0.14973187E+01
   225  -0.35839320E+01   0.40179733E-02  -0.66597016E-02   0.90404399E+00  -0.14984329E+01
   226  -0.35887973E+01   0.40009020E-02  -0.66351989E-02   0.90420385E+00  -0.14995550E+01
   227  -0.35936613E+01   0.39840057E-02  -0.66109466E-02   0.90436929E+00  -0.15006849E+01
   228  -0.35985240E+01   0.39672821E-02  -0.65869411E-02   0.90454032E+00  -0.15018226E+01
   229  -0.36033854E+01   0.39507293E-02  -0.65631791E-02   0.90471701E+00  -0.15029680E+01
   230  -0.36082455E+01   0.39343450E-02  -0.65396569E-02   0.90489935E+00  -0.15041211E+01
   231  -0.36131041E+01   0.39181273E-02  -0.65163713E-02   0.90508741E+00  -0.15052818E+01
   232  -0.36179613E+01   0.39020742E-02  -0.64933190E-02   0.90528121E+00  -0.15064500E+01
   233  -0.36228171E+01   0.38861836E-02  -0.64704966E-02   0.90548078E+00  -0.15076257E+01
   234  -0.36276714E+01   0.38704536E-02  -0.64479012E-02   0.90568614E+00  -0.15088089E+01
   235  -0.36325242E+01   0.38548822E-02  -0.64255293E-02   0.90589732E+00  -0.15099994E+01
   236  -0.36373754E+01   0.38394677E-02  -0.64033781E-02   0.90611438E+00  -0.15111972E+01
   237  -0.36422252E+01   0.38242080E-02  -0.63814445E-02   0.90633730E+00  -0.15124023E+01
   238  -0.36470733E+01   0.38091013E-02  -0.63597254E-02   0.90656611E+00  -0.15136146E+01
   239  -0.36519198E+01   0.37941458E-02  -0.63382179E-02   0.90680085E+00  -0.15148341E+01
   240  -0.36567647E+01   0.37793398E-02  -0.63169193E-02   0.90704155E+00  -0.15160606E+01
   241  -0.36616079E+01   0.37646814E-02  -0.62958265E-02   0.90728822E+00  -0.15172942E+01
   242  -0.36664494E+01   0.37501690E-02  -0.62749370E-02   0.90754090E+00  -0.15185348E+01
   243  -0.36712891E+01   0.37358007E-02  -0.62542478E-02   0.90779957E+00  -0.15197822E+01
   244  -0.36761271E+01   0.37215749E-02  -0.62337563E-02   0.90806428E+00  -0.15210365E+01
   245  -0.36809634E+01   0.37074899E-02  -0.62134599E-02   0.90833503E+00  -0.15222977E+01
   246  -0.36857978E+01   0.36935441E-02  -0.61933559E-02   0.90861185E+00  -0.15235656E+01
   247  -0.36906303E+01   0.36797359E-02  -0.61734419E-02   0.90889477E+00  -0.15248401E+01
   248  -0.36954610E+01   0.36660636E-02  -0.61537152E-02   0.90918377E+00  -0.15261214E+01
   249  -0.37002898E+01   0.36525257E-02  -0.61341734E-02   0.90947890E+00  -0.15274092E+01
   250  -0.37051167E+01   0.36391206E-02  -0.61148140E-02   0.90978015E+00  -0.15287035E+01
   251  -0.37099416E+01   0.36258468E-02  -0.60956346E-02   0.91008755E+00  -0.15300043E+01
   252  -0.37147645E+01   0.36127027E-02  -0.60766330E-02   0.91040108E+00  -0.15313115E+01
   253  -0.37195854E+01   0.35996869E-02  -0.60578067E-02   0.91072079E+00  -0.15326251E+01
   254  -0.37244043E+01   0.35867979E-02  -0.60391534E-02   0.91104667E+00  -0.15339450E+01
   255  -0.37292211E+01   0.35740342E-02  -0.60206710E-02   0.91137872E+00  -0.15352711E+01
   256  -0.37340357E+01   0.35613944E-02  -0.60023572E-02   0.91171697E+00  -0.15366034E+01
   257  -0.37388483E+01   0.35488772E-02  -0.59842098E-02   0.91206144E+00  -0.15379419E+01
   258  -0.37436587E+01   0.35364810E-02  -0.59662266E-02   0.91241210E+00  -0.15392865E+01
   259  -0.37484669E+01   0.35242045E-02  -0.59484056E-02   0.91276897E+00  -0.15406371E+01
   260  -0.37532729E+01   0.35120464E-02  -0.59307447E-02   0.91313206E+00  -0.15419936E+01
   261  -0.37580766E+01   0.35000053E-02  -0.59132419E-02   0.91350138E+00  -0.15433561E+01
   262  -0.37628780E+01   0.34880799E-02  -0.58958950E-02   0.91387693E+00  -0.15447245E+01
   263  -0.37676772E+01   0.34762689E-02  -0.58787022E-02   0.91425872E+00  -0.15460987E+01
   264  -0.37724740E+01   0.34645710E-02  -0.58616614E-02   0.91464674E+00  -0.15474786E+01
   265  -0.37772685E+01   0.34529849E-02  -0.58447709E-02   0.91504100E+00  -0.15488643E+01
   266  -0.37820605E+01   0.34415093E-02  -0.58280285E-02   0.91544147E+00  -0.15502556E+01
   267  -0.37868501E+01   0.34301431E-02  -0.58114326E-02   0.91584821E+00  -0.15516525E+01
   268  -0.37916373E+01   0.34188851E-02  -0.57949812E-02   0.91626121E+00  -0.15530550E+01
   269  -0.37964220E+01   0.34077339E-02  -0.57786726E-02   0.91668042E+00  -0.15544629E+01
   270  -0.38012042E+01   0.33966884E-02  -0.57625050E-02   0.91710587E+00  -0.15558764E+01
   271  -0.38059839E+01   0.33857475E-02  -0.57464766E-02   0.91753757E+00  -0.15572952E+01
   272  -0.38107610E+01   0.33749099E-02  -0.57305857E-02   0.91797549E+00  -0.15587193E+01
   273  -0.38155355E+01   0.33641746E-02  -0.57148305E-02   0.91841967E+00  -0.15601487E+01
