     n         h                l                k               nl               nk
   196  -0.30835357E+01   0.46230126E-02  -0.77157839E-02   0.90611047E+00  -0.15122936E+01
   197  -0.30866606E+01   0.46006105E-02  -0.76792387E-02   0.90632027E+00  -0.15128100E+01
   198  -0.30897855E+01   0.45784355E-02  -0.76430904E-02   0.90653023E+00  -0.15133319E+01
   199  -0.30929105E+01   0.45564846E-02  -0.76073328E-02   0.90674044E+00  -0.15138592E+01
   200  -0.30960355E+01   0.45347546E-02  -0.75719600E-02   0.90695092E+00  -0.15143920E+01
   201  -0.30991606E+01   0.45132425E-02  -0.75369662E-02   0.90716174E+00  -0.15149302E+01
   202  -0.31022858E+01   0.44919453E-02  -0.75023457E-02   0.90737295E+00  -0.15154738E+01
   203  -0.31054110E+01   0.44708602E-02  -0.74680928E-02   0.90758462E+00  -0.15160228E+01
   204  -0.31085363E+01   0.44499841E-02  -0.74342021E-02   0.90779676E+00  -0.15165772E+01
   205  -0.31116616E+01   0.44293144E-02  -0.74006681E-02   0.90800945E+00  -0.15171370E+01
   206  -0.31147869E+01   0.44088482E-02  -0.73674855E-02   0.90822273E+00  -0.15177020E+01
   207  -0.31179123E+01   0.43885827E-02  -0.73346493E-02   0.90843662E+00  -0.15182724E+01
   208  -0.31210377E+01   0.43685154E-02  -0.73021542E-02   0.90865120E+00  -0.15188481E+01
   209  -0.31241631E+01   0.43486436E-02  -0.72699953E-02   0.90886651E+00  -0.15194290E+01
   210  -0.31272885E+01   0.43289647E-02  -0.72381676E-02   0.90908259E+00  -0.15200152E+01
   211  -0.31304139E+01   0.43094762E-02  -0.72066664E-02   0.90929948E+00  -0.15206066E+01
   212  -0.31335394E+01   0.42901756E-02  -0.71754870E-02   0.90951723E+00  -0.15212032E+01
   213  -0.31366648E+01   0.42710604E-02  -0.71446246E-02   0.90973587E+00  -0.15218050E+01
   214  -0.31397901E+01   0.42521282E-02  -0.71140748E-02   0.90995543E+00  -0.15224120E+01
   215  -0.31429155E+01   0.42333766E-02  -0.70838330E-02   0.91017597E+00  -0.15230241E+01
   216  -0.31460408E+01   0.42148034E-02  -0.70538950E-02   0.91039753E+00  -0.15236413E+01
   217  -0.31491660E+01   0.41964063E-02  -0.70242563E-02   0.91062017E+00  -0.15242636E+01
   218  -0.31522912E+01   0.41781829E-02  -0.69949128E-02   0.91084387E+00  -0.15248910E+01
   219  -0.31554164E+01   0.41601311E-02  -0.69658603E-02   0.91106871E+00  -0.15255234E+01
   220  -0.31585414E+01   0.41422487E-02  -0.69370947E-02   0.91129471E+00  -0.15261608E+01
   221  -0.31616664E+01   0.41245336E-02  -0.69086121E-02   0.91152193E+00  -0.15268033E+01
   222  -0.31647913E+01   0.41069836E-02  -0.68804084E-02   0.91175036E+00  -0.15274507E+01
   223  -0.31679161E+01   0.40895968E-02  -0.68524799E-02   0.91198009E+00  -0.15281030E+01
   224  -0.31710407E+01   0.40723710E-02  -0.68248227E-02   0.91221110E+00  -0.15287603E+01
   225  -0.31741652E+01   0.40553043E-02  -0.67974331E-02   0.91244347E+00  -0.15294224E+01
   226  -0.31772896E+01   0.40383947E-02  -0.67703075E-02   0.91267720E+00  -0.15300895E+01
   227  -0.31804139E+01   0.40216402E-02  -0.67434422E-02   0.91291233E+00  -0.15307614E+01
   228  -0.31835380E+01   0.40050390E-02  -0.67168338E-02   0.91314889E+00  -0.15314381E+01
   229  -0.31866619E+01   0.39885892E-02  -0.66904786E-02   0.91338693E+00  -0.15321196E+01
   230  -0.31897856E+01   0.39722889E-02  -0.66643735E-02   0.91362645E+00  -0.15328059E+01
   231  -0.31929092E+01   0.39561363E-02  -0.66385148E-02   0.91386749E+00  -0.15334969E+01
   232  -0.31960325E+01   0.39401297E-02  -0.66128995E-02   0.91411009E+00  -0.15341927E+01
   233  -0.31991557E+01   0.39242673E-02  -0.65875242E-02   0.91435428E+00  -0.15348931E+01
   234  -0.32022786E+01   0.39085473E-02  -0.65623857E-02   0.91460007E+00  -0.15355983E+01
   235  -0.32054013E+01   0.38929680E-02  -0.65374809E-02   0.91484748E+00  -0.15363080E+01
   236  -0.32085237E+01   0.38775278E-02  -0.65128068E-02   0.91509656E+00  -0.15370224E+01
   237  -0.32116459E+01   0.38622251E-02  -0.64883602E-02   0.91534735E+00  -0.15377414E+01
   238  -0.32147678E+01   0.38470581E-02  -0.64641383E-02   0.91559983E+00  -0.15384649E+01
   239  -0.32178894E+01   0.38320253E-02  -0.64401381E-02   0.91585405E+00  -0.15391930E+01
   240  -0.32210107E+01   0.38171252E-02  -0.64163567E-02   0.91611005E+00  -0.15399256E+01
   241  -0.32241318E+01   0.38023561E-02  -0.63927913E-02   0.91636782E+00  -0.15406627E+01
   242  -0.32272525E+01   0.37877165E-02  -0.63694391E-02   0.91662739E+00  -0.15414043E+01
   243  -0.32303728E+01   0.37732050E-02  -0.63462973E-02   0.91688881E+00  -0.15421502E+01
   244  -0.32334929E+01   0.37588200E-02  -0.63233633E-02   0.91715208E+00  -0.15429006E+01
   245  -0.32366126E+01   0.37445601E-02  -0.63006345E-02   0.91741722E+00  -0.15436555E+01
   246  -0.32397319E+01   0.37304239E-02  -0.62781081E-02   0.91768428E+00  -0.15444146E+01
   247  -0.32428508E+01   0.37164099E-02  -0.62557816E-02   0.91795325E+00  -0.15451781E+01
   248  -0.32459693E+01   0.37025168E-02  -0.62336526E-02   0.91822417E+00  -0.15459458E+01
   249  -0.32490875E+01   0.36887431E-02  -0.62117185E-02   0.91849703E+00  -0.15467179E+01
   250  -0.32522052E+01   0.36750875E-02  -0.61899769E-02   0.91877187E+00  -0.15474942E+01
   251  -0.32553225E+01   0.36615486E-02  -0.61684253E-02   0.91904870E+00  -0.15482748E+01
   252  -0.32584394E+01   0.36481253E-02  -0.61470615E-02   0.91932758E+00  -0.15490595E+01
   253  -0.32615558E+01   0.36348161E-02  -0.61258830E-02   0.91960847E+00  -0.15498484E+01
   254  -0.32646717E+01   0.36216197E-02  -0.61048876E-02   0.91989140E+00  -0.15506415E+01
   255  -0.32677872E+01   0.36085350E-02  -0.60840731E-02   0.92017642E+00  -0.15514386E+01
   256  -0.32709021E+01   0.35955607E-02  -0.60634372E-02   0.92046354E+00  -0.15522399E+01
   257  -0.32740166E+01   0.35826955E-02  -0.60429776E-02   0.92075274E+00  -0.15530452E+01
   258  -0.32771305E+01   0.35699382E-02  -0.60226924E-02   0.92104406E+00  -0.15538546E+01
   259  -0.32802439E+01   0.35572877E-02  -0.60025792E-02   0.92133751E+00  -0.15546680E+01
   260  -0.32833568E+01   0.35447428E-02  -0.59826362E-02   0.92163313E+00  -0.15554854E+01
   261  -0.32864691E+01   0.35323023E-02  -0.59628611E-02   0.92193090E+00  -0.15563067E+01
   262  -0.32895809E+01   0.35199651E-02  -0.59432520E-02   0.92223086E+00  -0.15571320E+01
   263  -0.32926920E+01   0.35077300E-02  -0.59238069E-02   0.92253299E+00  -0.15579612E+01
   264  -0.32958026E+01   0.34955960E-02  -0.59045238E-02   0.92283734E+00  -0.15587943E+01
   265  -0.32989125E+01   0.34835620E-02  -0.58854008E-02   0.92314393E+00  -0.15596312E+01
   266  -0.33020219E+01   0.34716268E-02  -0.58664359E-02   0.92345273E+00  -0.15604719E+01
   267  -0.33051306E+01   0.34597894E-02  -0.58476274E-02   0.92376377E+00  -0.15613165E+01
   268  -0.33082386E+01   0.34480488E-02  -0.58289733E-02   0.92407708E+00  -0.15621648E+01
   269  -0.33113460E+01   0.34364039E-02  -0.58104719E-02   0.92439265E+00  -0.15630169E+01
   270  -0.33144528E+01   0.34248537E-02  -0.57921212E-02   0.92471050E+00  -0.15638727E+01
   271  -0.33175588E+01   0.34133972E-02  -0.57739197E-02   0.92503064E+00  -0.15647322E+01
   272  -0.33206641E+01   0.34020334E-02  -0.57558655E-02   0.92535308E+00  -0.15655954E+01
   273  -0.33237688E+01   0.33907613E-02  -0.57379569E-02   0.92567783E+00  -0.15664622E+01
