# LOVE_NUMBERS  Format of 2005.01.10
# degree h                 l                 k
#
     0  0.0000000000D+00  0.0000000000D+00  0.0000000000D+00
   366 -0.4245955590D+01  0.2703705919D-02 -0.5109520206D-02
   367 -0.4250366666D+01  0.2698954809D-02 -0.5101538932D-02
   368 -0.4254772819D+01  0.2694241257D-02 -0.5093603358D-02
   369 -0.4259174029D+01  0.2689564868D-02 -0.5085713032D-02
   370 -0.4263570269D+01  0.2684925267D-02 -0.5077867507D-02
   371 -0.4267961523D+01  0.2680322080D-02 -0.5070066320D-02
   372 -0.4272347781D+01  0.2675754933D-02 -0.5062309014D-02
   373 -0.4276728990D+01  0.2671223464D-02 -0.5054595077D-02
   374 -0.4281105174D+01  0.2666727299D-02 -0.5046924184D-02
   375 -0.4285476289D+01  0.2662266084D-02 -0.5039295844D-02
   376 -0.4289842325D+01  0.2657839464D-02 -0.5031709627D-02
   377 -0.4294203252D+01  0.2653447078D-02 -0.5024165063D-02
   378 -0.4298559055D+01  0.2649088583D-02 -0.5016661793D-02
   379 -0.4302909733D+01  0.2644763625D-02 -0.5009199414D-02
   380 -0.4307255251D+01  0.2640471867D-02 -0.5001777482D-02
   381 -0.4311595601D+01  0.2636212976D-02 -0.4994395567D-02
   382 -0.4315930729D+01  0.2631986606D-02 -0.4987053274D-02
   383 -0.4320260674D+01  0.2627792425D-02 -0.4979750283D-02
   384 -0.4324585375D+01  0.2623630098D-02 -0.4972486128D-02
   385 -0.4328909213D+01  0.2619512018D-02 -0.4965268840D-02
   386 -0.4333223786D+01  0.2615413552D-02 -0.4958081936D-02
   387 -0.4337533117D+01  0.2611346056D-02 -0.4950932817D-02
   388 -0.4341837175D+01  0.2607309217D-02 -0.4943821092D-02
   389 -0.4346135928D+01  0.2603302742D-02 -0.4936746301D-02
   390 -0.4350429387D+01  0.2599326305D-02 -0.4929708210D-02
   391 -0.4354717544D+01  0.2595379607D-02 -0.4922706445D-02
   392 -0.4359000351D+01  0.2591462351D-02 -0.4915740611D-02
