     n         h                l                k               nl               nk
   166  -0.32973625E+01   0.54554235E-02  -0.90168175E-02   0.90560030E+00  -0.14967917E+01
   167  -0.33023327E+01   0.54241709E-02  -0.89650592E-02   0.90583654E+00  -0.14971649E+01
   168  -0.33073027E+01   0.53932772E-02  -0.89139528E-02   0.90607057E+00  -0.14975441E+01
   169  -0.33122724E+01   0.53627367E-02  -0.88634869E-02   0.90630250E+00  -0.14979293E+01
   170  -0.33172420E+01   0.53325439E-02  -0.88136501E-02   0.90653246E+00  -0.14983205E+01
   171  -0.33222114E+01   0.53026931E-02  -0.87644316E-02   0.90676052E+00  -0.14987178E+01
   172  -0.33271807E+01   0.52731791E-02  -0.87158205E-02   0.90698681E+00  -0.14991211E+01
   173  -0.33321499E+01   0.52439965E-02  -0.86678063E-02   0.90721139E+00  -0.14995305E+01
   174  -0.33371190E+01   0.52151402E-02  -0.86203788E-02   0.90743439E+00  -0.14999459E+01
   175  -0.33420881E+01   0.51866051E-02  -0.85735280E-02   0.90765589E+00  -0.15003674E+01
   176  -0.33470571E+01   0.51583863E-02  -0.85272439E-02   0.90787599E+00  -0.15007949E+01
   177  -0.33520260E+01   0.51304789E-02  -0.84815170E-02   0.90809477E+00  -0.15012285E+01
   178  -0.33569949E+01   0.51028781E-02  -0.84363379E-02   0.90831230E+00  -0.15016681E+01
   179  -0.33619638E+01   0.50755793E-02  -0.83916974E-02   0.90852869E+00  -0.15021138E+01
   180  -0.33669327E+01   0.50485780E-02  -0.83475864E-02   0.90874404E+00  -0.15025656E+01
   181  -0.33719016E+01   0.50218695E-02  -0.83039962E-02   0.90895838E+00  -0.15030233E+01
   182  -0.33768705E+01   0.49954497E-02  -0.82609181E-02   0.90917185E+00  -0.15034871E+01
   183  -0.33818394E+01   0.49693140E-02  -0.82183437E-02   0.90938446E+00  -0.15039569E+01
   184  -0.33868083E+01   0.49434584E-02  -0.81762647E-02   0.90959635E+00  -0.15044327E+01
   185  -0.33917772E+01   0.49178787E-02  -0.81346731E-02   0.90980756E+00  -0.15049145E+01
   186  -0.33967462E+01   0.48925708E-02  -0.80935608E-02   0.91001817E+00  -0.15054023E+01
   187  -0.34017152E+01   0.48675307E-02  -0.80529202E-02   0.91022824E+00  -0.15058961E+01
   188  -0.34066843E+01   0.48427546E-02  -0.80127437E-02   0.91043786E+00  -0.15063958E+01
   189  -0.34116534E+01   0.48182387E-02  -0.79730238E-02   0.91064711E+00  -0.15069015E+01
   190  -0.34166225E+01   0.47939791E-02  -0.79337532E-02   0.91085603E+00  -0.15074131E+01
   191  -0.34215917E+01   0.47699722E-02  -0.78949248E-02   0.91106469E+00  -0.15079306E+01
   192  -0.34265609E+01   0.47462145E-02  -0.78565316E-02   0.91127318E+00  -0.15084541E+01
   193  -0.34315301E+01   0.47227022E-02  -0.78185668E-02   0.91148152E+00  -0.15089834E+01
   194  -0.34364994E+01   0.46994321E-02  -0.77810235E-02   0.91168983E+00  -0.15095186E+01
   195  -0.34414687E+01   0.46764005E-02  -0.77438954E-02   0.91189810E+00  -0.15100596E+01
   196  -0.34464380E+01   0.46536044E-02  -0.77071758E-02   0.91210646E+00  -0.15106065E+01
